Sample ID in Raw Data,value_log10,tissue,value
Animal XY.1,3.77505931,Tumor,5957.434962
Animal XY.2,3.363723629,Tumor,2310.593934
Animal XY.3,3.384164789,Tumor,2421.947859
Animal XY.4,3.336740139,Tumor,2171.401528
Animal XY.5,3.226400911,Tumor,1684.228109
Animal XY.6,3.688922657,Tumor,4885.653439
Animal XY.7,3.651471413,Tumor,4481.995462
Animal XY.8,3.776072833,Tumor,5971.354203
Animal XY.1,4.403686929,Plasma,25333.01783
Animal XY.2,4.593864649,Plasma,39252.2584
Animal XY.3,3.793923064,Plasma,6221.900533
Animal XY.4,4.518363887,Plasma,32988.60014
Animal XY.5,4.529221814,Plasma,33823.75458
Animal XY.6,3.229975371,Plasma,1698.147349
Animal XY.7,4.582948235,Plasma,38277.91156
Animal XY.8,5.177039296,Plasma,150327.7981
