cell_line,reference,gene,replicate,fold change
MDA-MB-231,XY1943,Xbp1,1.000,1.143
MDA-MB-231,XY1943,Xbp1,2.000,1.272
MDA-MB-231,XY1943,Xbp1,3.000,1.060
MDA-MB-231,XY1943,Chop,1.000,1.416
MDA-MB-231,XY1943,Chop,2.000,0.993
MDA-MB-231,XY1943,Chop,3.000,0.652
MDA-MB-231,XY1943,BiP,1.000,1.148
MDA-MB-231,XY1943,BiP,2.000,0.862
MDA-MB-231,XY1943,BiP,3.000,1.234
MDA-MB-468,XY1943,Xbp1,1.000,1.855
MDA-MB-468,XY1943,Xbp1,2.000,2.154
MDA-MB-468,XY1943,Xbp1,3.000,1.928
MDA-MB-468,XY1943,Chop,1.000,2.576
MDA-MB-468,XY1943,Chop,2.000,2.042
MDA-MB-468,XY1943,Chop,3.000,2.480
MDA-MB-468,XY1943,BiP,1.000,2.563
MDA-MB-468,XY1943,BiP,2.000,3.028
MDA-MB-468,XY1943,BiP,3.000,3.048
BT549,XY1943,Xbp1,1.000,1.911
BT549,XY1943,Xbp1,2.000,1.876
BT549,XY1943,Xbp1,3.000,2.117
BT549,XY1943,Chop,1.000,2.015
BT549,XY1943,Chop,2.000,1.898
BT549,XY1943,Chop,3.000,1.477
BT549,XY1943,BiP,1.000,2.111
BT549,XY1943,BiP,2.000,1.658
BT549,XY1943,BiP,3.000,1.612
HCC1187,XY1943,Xbp1,1.000,1.817
HCC1187,XY1943,Xbp1,2.000,1.355
HCC1187,XY1943,Xbp1,3.000,1.565
HCC1187,XY1943,Chop,1.000,1.687
HCC1187,XY1943,Chop,2.000,1.154
HCC1187,XY1943,Chop,3.000,1.238
HCC1187,XY1943,BiP,1.000,2.609
HCC1187,XY1943,BiP,2.000,2.196
HCC1187,XY1943,BiP,3.000,2.589
