cell_line,reference,gene,replicate,fold change
MDA-MB-231,C24,Xbp1,1.000,1.415
MDA-MB-231,C24,Xbp1,2.000,0.507
MDA-MB-231,C24,Xbp1,3.000,0.828
MDA-MB-231,C24,Chop,1.000,0.886
MDA-MB-231,C24,Chop,2.000,0.666
MDA-MB-231,C24,Chop,3.000,1.145
MDA-MB-231,C24,BiP,1.000,0.802
MDA-MB-231,C24,BiP,2.000,0.964
MDA-MB-231,C24,BiP,3.000,1.150
MDA-MB-468,C24,Xbp1,1.000,1.319
MDA-MB-468,C24,Xbp1,2.000,1.083
MDA-MB-468,C24,Xbp1,3.000,0.911
MDA-MB-468,C24,Chop,1.000,1.431
MDA-MB-468,C24,Chop,2.000,0.758
MDA-MB-468,C24,Chop,3.000,1.152
MDA-MB-468,C24,BiP,1.000,1.536
MDA-MB-468,C24,BiP,2.000,1.019
MDA-MB-468,C24,BiP,3.000,1.192
BT549,C24,Xbp1,1.000,1.259
BT549,C24,Xbp1,2.000,1.071
BT549,C24,Xbp1,3.000,1.219
BT549,C24,Chop,1.000,1.342
BT549,C24,Chop,2.000,1.011
BT549,C24,Chop,3.000,1.376
BT549,C24,BiP,1.000,1.095
BT549,C24,BiP,2.000,0.765
BT549,C24,BiP,3.000,0.782
HCC1187,C24,Xbp1,1.000,1.213
HCC1187,C24,Xbp1,2.000,1.114
HCC1187,C24,Xbp1,3.000,1.091
HCC1187,C24,Chop,1.000,1.324
HCC1187,C24,Chop,2.000,0.996
HCC1187,C24,Chop,3.000,1.199
HCC1187,C24,BiP,1.000,1.030
HCC1187,C24,BiP,2.000,1.253
HCC1187,C24,BiP,3.000,0.946
